ID,pos_count,neg_count,SAT_SCORE_1,SAT_SCORE_2
701156636,249,279,630,570
701158945,37,7,710,800
701158954,205,68,940,1060
701158985,262,255,NULL,940
701159059,153,83,NULL,770
3042022039,285,325,790,840

(385 rows affected)


Completion time: 2020-04-22T11:36:56.4238371-04:00
